arrest_key,arrest_date,pd_desc,ofns_desc,law_code,law_cat_cd,age_group,perp_sex,perp_race,latitude,longitude,arrest_boro,arrest_precinct,jurisdiction_code,Community District,Borough Boundaries,City Council Districts,Police Precincts,neighbourhood_group,neighbourhood_cd
191797394,2019-01-03,WEAPONS POSSESSION 1 & 2,DANGEROUS WEAPONS,PL 265031B,Felony,18-24,F,BLACK,40.81749421000006,-73.91037821299994,B,40,0.0,49.0,5.0,43.0,23.0,Bronx,41.0
193933677,2019-02-24,"TRESPASS 2, CRIMINAL",CRIMINAL TRESPASS,PL 1401502,Misdemeanor,18-24,M,BLACK,40.76983029100006,-73.98619230399999,M,18,0.0,20.0,4.0,10.0,12.0,Manhattan,140.0
189328420,2018-10-28,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601504,Felony,25-44,M,BLACK,40.67027627800008,-73.86729982099996,K,75,0.0,45.0,2.0,25.0,47.0,Brooklyn,90.0
194014492,2019-02-26,RAPE 2,RAPE,PL 1303001,Felony,25-44,M,WHITE HISPANIC,40.800694331000045,-73.94110928599997,M,25,0.0,7.0,4.0,36.0,16.0,Manhattan,152.0
193524566,2019-02-13,RAPE 3,RAPE,PL 1302501,Felony,18-24,M,WHITE,40.67458330800008,-73.93022154099998,K,77,0.0,16.0,2.0,49.0,49.0,Brooklyn,108.0
191943063,2019-01-06,CRIMINAL SALE OF A CONTROLLED SUBSTANCE,CONTROLLED SUBSTANCES OFFENSES,PL 2203400,Felony,25-44,M,WHITE,40.72500181100003,-73.97819586899993,M,9,0.0,70.0,4.0,50.0,5.0,Manhattan,156.0
188785933,2018-10-15,"SEXUAL ABUSE 3,2",FORCIBLE TOUCHING,PL 1305200,Misdemeanor,25-44,M,BLACK HISPANIC,40.71650772200008,-73.98391989899994,M,7,2.0,70.0,4.0,32.0,4.0,Manhattan,136.0
192399624,2019-01-16,RAPE 3,RAPE,PL 1302501,Felony,18-24,M,BLACK,40.764818269000045,-73.98518977299995,M,18,0.0,12.0,4.0,10.0,10.0,Manhattan,137.0
188210546,2018-10-01,MAKING A TERRORISTIC THREAT,TERRORISM,PL 4902001,Felony,<18,M,WHITE,40.59406298000005,-73.96086869299995,K,61,0.0,32.0,2.0,45.0,36.0,Brooklyn,97.0
206009619,2019-12-04,GRAND LARCENY,LARCENY,PL 1553502,Felony,<18,M,WHITE,40.77528038400004,-73.90707361899996,Q,114,0.0,39.0,3.0,4.0,72.0,Queens,212.0
187866937,2018-09-21,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,Felony,25-44,M,BLACK,40.70909089000003,-73.79797630299998,Q,103,0.0,25.0,3.0,24.0,65.0,Queens,247.0
194591136,2019-03-12,RAPE 1,RAPE,PL 1303501,Felony,25-44,M,BLACK,40.67458330800008,-73.93022154099998,K,77,0.0,16.0,2.0,49.0,49.0,Brooklyn,108.0
188893646,2018-10-17,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601502,Felony,18-24,M,BLACK,40.66416202000005,-73.94681681999998,K,71,0.0,17.0,2.0,48.0,44.0,Brooklyn,56.0
23920935,2006-08-18,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,PL 2650101,Misdemeanor,18-24,M,BLACK,40.674885741000026,-73.96007501899999,K,77,0.0,16.0,2.0,48.0,49.0,Brooklyn,83.0
187603736,2018-09-14,RAPE 1,RAPE,PL 1303501,Felony,25-44,M,WHITE HISPANIC,40.84390125500005,-73.900504632,B,48,0.0,35.0,5.0,22.0,31.0,Bronx,39.0
188126065,2018-09-28,FORGERY ,FORGERY,PL 1701000,Felony,25-44,M,WHITE HISPANIC,40.79032242500005,-73.94768749799994,M,23,1.0,7.0,4.0,35.0,14.0,Manhattan,148.0
188593338,2018-10-10,AGGRAVATED SEXUAL ABUSE,SEX OFFENSES,PL 1306504,Felony,45-64,M,BLACK,40.800694331000045,-73.94110928599997,M,25,0.0,7.0,4.0,36.0,16.0,Manhattan,152.0
188431122,2018-10-06,"SEXUAL ABUSE 3,2",FORCIBLE TOUCHING,PL 1305200,Misdemeanor,25-44,M,WHITE HISPANIC,40.75686097700003,-73.87565666399996,Q,115,0.0,65.0,3.0,21.0,73.0,Queens,245.0
187900310,2018-09-22,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 1401000,Misdemeanor,25-44,M,BLACK,40.60154475400003,-73.93533946199994,K,61,0.0,32.0,2.0,8.0,36.0,Brooklyn,79.0
188038653,2018-09-26,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,Felony,45-64,M,BLACK,40.68703414200007,-73.98202677399996,K,84,0.0,68.0,2.0,38.0,54.0,Brooklyn,106.0
194097220,2019-02-28,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 13052A1,Misdemeanor,45-64,M,BLACK,40.76717676000004,-73.96380668299997,M,19,1.0,23.0,4.0,51.0,11.0,Manhattan,113.0
187731259,2018-09-18,"SEXUAL ABUSE 3,2",FORCIBLE TOUCHING,PL 1305200,Misdemeanor,65+,M,WHITE,40.69546894100006,-73.98282507899995,K,84,0.0,68.0,2.0,48.0,54.0,Brooklyn,103.0
188855375,2018-10-16,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 2650201,Felony,45-64,M,BLACK,40.655345114000056,-73.95151270399998,K,67,0.0,17.0,2.0,11.0,44.0,Brooklyn,57.0
193089513,2019-02-02,"IMPERSONATION 2, PUBLIC SERVAN",FRAUDS,PL 1902300,Misdemeanor,25-44,M,BLACK,40.82227104100008,-73.91169777999994,B,42,0.0,34.0,5.0,43.0,25.0,Bronx,41.0
188719020,2018-10-13,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200000,Misdemeanor,25-44,M,BLACK,40.82867545800008,-73.94398971599996,M,30,0.0,37.0,4.0,23.0,19.0,Manhattan,134.0
193256390,2019-02-06,CRIMINAL SALE OF A CONTROLLED SUBSTANCE,CONTROLLED SUBSTANCES OFFENSES,PL 2203400,Felony,18-24,M,ASIAN / PACIFIC ISLANDER,40.75783900300007,-73.99121211099998,M,14,0.0,12.0,4.0,10.0,8.0,Manhattan,137.0
187848220,2018-09-20,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,BLACK,40.844139945000045,-73.90038861799998,B,48,0.0,35.0,5.0,22.0,31.0,Bronx,39.0
188062779,2018-09-27,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,WHITE,40.59743740100003,-73.94951303399995,K,61,0.0,32.0,2.0,15.0,36.0,Brooklyn,79.0
197229430,2019-05-15,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1702500,Felony,25-44,M,BLACK,40.76231580000007,-73.82744800199998,Q,109,4.0,22.0,3.0,3.0,67.0,Queens,229.0
192531624,2019-01-20,RAPE 2,RAPE,PL 1303001,Felony,25-44,M,BLACK,40.648421119000034,-73.90489710899999,K,69,0.0,5.0,2.0,25.0,42.0,Brooklyn,95.0
23873406,2006-08-15,IDENTITY THFT-1,THEFT-FRAUD,PL 1908001,Felony,25-44,F,ASIAN / PACIFIC ISLANDER,40.60207069800003,-74.00269150899999,K,62,0.0,1.0,2.0,44.0,37.0,Brooklyn,71.0
188424593,2018-10-05,"BURGLARY,COMMERCIAL,DAY",BURGLARY,PL 1402500,Felony,18-24,F,BLACK,40.68874336800008,-73.94498708099997,K,79,0.0,69.0,2.0,49.0,51.0,Brooklyn,108.0
187924175,2018-09-22,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,WHITE,40.71477560500005,-73.98272992299998,M,7,0.0,70.0,4.0,32.0,4.0,Manhattan,136.0
193658990,2019-02-16,GRAND LARCENY,LARCENY,PL 1553502,Felony,25-44,M,WHITE HISPANIC,40.75639630800004,-73.87746589499994,Q,115,0.0,65.0,3.0,5.0,73.0,Queens,245.0
23873832,2006-08-15,"NY STATE LAWS,UNCLASSIFIED VIOLATION",OTHER STATE LAWS,LOC000000V,Violation,45-64,M,BLACK,40.74919354900004,-73.97561465299998,M,17,0.0,71.0,4.0,51.0,9.0,Manhattan,138.0
188347566,2018-10-04,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,Misdemeanor,65+,M,BLACK,40.84349641100005,-73.90539890999997,B,44,0.0,50.0,5.0,22.0,27.0,Bronx,30.0
197611327,2019-05-25,SODOMY 3,SEX CRIMES,PL 1304003,Felony,25-44,M,BLACK,40.764818269000045,-73.98518977299995,M,18,0.0,12.0,4.0,10.0,10.0,Manhattan,137.0
186598277,2018-08-19,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,WHITE HISPANIC,40.71165067700008,-73.94391129999997,K,90,0.0,36.0,2.0,30.0,56.0,Brooklyn,98.0
194789493,2019-03-16,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200000,Misdemeanor,25-44,M,BLACK,40.86163645000005,-73.89615429599996,B,46,0.0,6.0,5.0,22.0,29.0,Bronx,30.0
187277726,2018-09-06,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,Felony,25-44,F,BLACK,40.82229848500003,-73.91169413099993,B,42,0.0,34.0,5.0,43.0,25.0,Bronx,41.0
187396847,2018-09-10,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,18-24,F,BLACK,40.83778161800007,-73.91945797099999,B,44,0.0,50.0,5.0,42.0,27.0,Bronx,29.0
187118290,2018-09-02,SODOMY 1,SEX CRIMES,PL 1305003,Felony,18-24,M,BLACK,40.81039601900005,-73.92531074499993,B,40,0.0,49.0,5.0,35.0,23.0,Bronx,41.0
192866929,2019-01-28,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200000,Misdemeanor,25-44,M,BLACK,40.66346015500005,-73.94276234199998,K,71,0.0,17.0,2.0,11.0,44.0,Brooklyn,56.0
187150402,2018-09-03,MAKING A TERRORISTIC THREAT,TERRORISM,PL 4902001,Felony,18-24,M,BLACK,40.614851531000056,-74.06464749399998,S,120,0.0,4.0,1.0,13.0,74.0,Staten Island,391.0
186386053,2018-08-14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,Felony,25-44,F,BLACK,40.82338729100008,-73.87017045,B,43,0.0,58.0,5.0,31.0,26.0,Bronx,33.0
194061336,2019-02-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,Felony,25-44,M,BLACK,40.88733281800006,-73.84725001299995,B,47,0.0,29.0,5.0,2.0,30.0,Bronx,36.0
193353330,2019-02-08,RAPE 2,RAPE,PL 1303001,Felony,25-44,M,BLACK,40.67458330800008,-73.93022154099998,K,77,0.0,16.0,2.0,49.0,49.0,Brooklyn,108.0
186680394,2018-08-21,UNAUTHORIZED SALE OF TRANSPORTATION SERVICES,THEFT,PL 1651600,Misdemeanor,45-64,M,BLACK,40.79863330000006,-73.94162037099994,M,25,0.0,7.0,4.0,35.0,16.0,Manhattan,148.0
187388109,2018-09-09,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,WHITE HISPANIC,40.65210547300006,-73.96434121099996,K,70,0.0,60.0,2.0,11.0,43.0,Brooklyn,57.0
192688388,2019-01-24,RAPE 3,RAPE,PL 1302503,Felony,18-24,M,WHITE HISPANIC,40.82310129900003,-73.86969046099995,B,43,0.0,58.0,5.0,31.0,26.0,Bronx,33.0
195365356,2019-03-30,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200000,Misdemeanor,25-44,M,WHITE,40.85580274300003,-73.84390995399997,B,49,0.0,59.0,5.0,12.0,32.0,Bronx,19.0
186825548,2018-08-25,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Misdemeanor,25-44,M,BLACK,40.67588908100004,-73.88217793299998,K,75,0.0,45.0,2.0,37.0,47.0,Brooklyn,89.0
187103390,2018-09-01,RAPE 1,RAPE,PL 1303502,Felony,18-24,M,WHITE HISPANIC,40.67458330800008,-73.93022154099998,K,77,0.0,16.0,2.0,49.0,49.0,Brooklyn,108.0
193449135,2019-02-11,CRIMINAL SALE OF A CONTROLLED SUBSTANCE,CONTROLLED SUBSTANCES OFFENSES,PL 2203400,Felony,25-44,M,WHITE HISPANIC,40.71949219600003,-73.99315078999996,M,5,0.0,70.0,4.0,32.0,2.0,Manhattan,147.0
186933934,2018-08-28,"FORGERY,ETC.,UNCLASSIFIED-FELONY",FORGERY,PL 1702500,Felony,18-24,M,BLACK,40.730756883000026,-74.00076997599997,M,6,0.0,57.0,4.0,32.0,3.0,Manhattan,157.0
195423182,2019-04-01,"IMPERSONATION 2, PUBLIC SERVAN",FRAUDS,PL 1902300,Misdemeanor,45-64,M,BLACK,40.66294346500007,-73.94142913899998,K,71,0.0,17.0,2.0,17.0,44.0,Brooklyn,67.0
193529396,2019-02-13,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200000,Misdemeanor,<18,M,BLACK,40.670366460000025,-73.91284696199995,K,73,97.0,55.0,2.0,17.0,46.0,Brooklyn,88.0
187338172,2018-09-08,"SEXUAL ABUSE 3,2",SEX CRIMES,PL 13052A1,Misdemeanor,25-44,M,BLACK,40.82256991600008,-73.91130716899994,B,42,0.0,34.0,5.0,43.0,25.0,Bronx,41.0
194312931,2019-03-05,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100A,Misdemeanor,45-64,M,WHITE,40.63214066200004,-74.02155690699993,K,68,0.0,10.0,2.0,44.0,41.0,Brooklyn,61.0
186840865,2018-08-25,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100A,Misdemeanor,45-64,M,BLACK,40.63129495700008,-74.10001712599995,S,120,0.0,4.0,1.0,13.0,74.0,Staten Island,346.0
23793080,2006-08-10,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,Misdemeanor,25-44,M,WHITE HISPANIC,40.79074641400008,-73.95063404199995,M,23,0.0,7.0,4.0,35.0,14.0,Manhattan,148.0
194755716,2019-03-15,RAPE 3,RAPE,PL 1302502,Felony,18-24,M,WHITE HISPANIC,40.800694331000045,-73.94110928599997,M,25,0.0,7.0,4.0,36.0,16.0,Manhattan,152.0
194611191,2019-03-12,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1701004,Felony,18-24,M,BLACK,40.81077276700006,-73.95259158999994,M,26,1.0,37.0,4.0,36.0,17.0,Manhattan,151.0
194772249,2019-03-16,RAPE 1,RAPE,PL 1303501,Felony,18-24,M,BLACK,40.58646552900007,-73.81652172299994,Q,100,0.0,51.0,3.0,41.0,58.0,Queens,185.0
196109049,2019-04-17,STRANGULATION 1ST,FELONY ASSAULT,PL 1211200,Felony,18-24,M,WHITE,40.602070698000034,-74.00269150899999,K,62,0.0,1.0,2.0,44.0,37.0,Brooklyn,71.0
193627640,2019-02-15,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,Felony,25-44,M,BLACK,40.63068215900006,-73.97355396999995,K,70,0.0,60.0,2.0,18.0,43.0,Brooklyn,65.0
186745325,2018-08-23,"IMPERSONATION 2, PUBLIC SERVANT",FRAUDS,PL 1902300,Misdemeanor,25-44,M,BLACK,40.59299766800007,-73.78904136799997,Q,101,0.0,51.0,3.0,47.0,58.0,Queens,186.0
186485414,2018-08-16,UNAUTHORIZED SALE OF TRANSPORTATION SERVICES,THEFT,PL 1651600,Misdemeanor,65+,M,WHITE HISPANIC,40.71406010100003,-73.99020064699994,M,7,1.0,70.0,4.0,32.0,4.0,Manhattan,136.0
186599393,2018-08-19,RAPE 3,RAPE,PL 1302503,Felony,18-24,M,ASIAN / PACIFIC ISLANDER,40.68218640100008,-73.83969048299997,Q,106,0.0,62.0,3.0,41.0,64.0,Queens,260.0
24158189,2006-09-05,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,PL 2211001,Misdemeanor,18-24,M,BLACK,40.67590947200006,-73.910968644,K,73,0.0,55.0,2.0,17.0,46.0,Brooklyn,88.0
